0 0,5495 0
1 0,5 0,5425
2 0,5 0,5425
3 0,605 0,5425
4 0,5 0,565
5 0,8495 0,565
6 0,779 0,8475
7 0,6125 0,8475
8 0,506 0,8475
9 0,501 0,8475
10 0,839 0,8475
11 0,7875 0,8475
12 0,7495 0,8475
13 0,6565 0,8475
14 0,5375 0,8475
15 0,78 0,8475
16 0,7745 0,8475
17 0,759 0,8475
18 0,711 0,8475
19 0,7345 0,8475
20 0,6765 0,8475
21 0,767 0,8475
22 0,7495 0,8475
23 0,794 0,8475
24 0,8085 0,8475
25 0,847 0,8475
26 0,8775 0,8475
27 0,8925 0,8825
28 0,9035 0,8825
29 0,914 0,8825
30 0,913 0,8825
31 0,9205 0,8825
32 0,9195 0,8825
33 0,9195 0,8825
34 0,923 0,8825
35 0,923 0,8825
36 0,9245 0,8825
37 0,9265 0,8825
38 0,9265 0,8825
39 0,928 0,8825
40 0,932 0,8825
41 0,9315 0,8875
42 0,9325 0,8875
43 0,9325 0,8875
44 0,9345 0,89
45 0,937 0,89
46 0,938 0,8925
47 0,9395 0,895
48 0,9415 0,8975
49 0,938 0,8975
50 0,945 0,9
51 0,94 0,9
52 0,9465 0,9025
53 0,9445 0,9025
54 0,9455 0,9075
55 0,948 0,9075
56 0,9465 0,9075
57 0,9495 0,9075
58 0,9485 0,9075
59 0,9515 0,9075
60 0,951 0,91
61 0,955 0,91
62 0,952 0,91
63 0,956 0,91
64 0,9545 0,915
65 0,957 0,915
66 0,9565 0,9175
67 0,96 0,9175
68 0,955 0,9175
69 0,9595 0,9175
70 0,9585 0,9175
71 0,959 0,9175
72 0,958 0,9175
73 0,9625 0,9175
74 0,9555 0,9225
75 0,9625 0,9225
76 0,9565 0,9225
77 0,963 0,9225
78 0,957 0,9225
79 0,9635 0,9225
80 0,961 0,925
81 0,965 0,925
82 0,961 0,925
83 0,964 0,925
84 0,9635 0,9325
85 0,9675 0,9325
86 0,962 0,9325
87 0,9665 0,9325
88 0,961 0,9425
89 0,9665 0,9425
90 0,961 0,9425
91 0,964 0,9425
92 0,9545 0,9425
93 0,9575 0,9425
94 0,948 0,9425
95 0,941 0,9425
96 0,931 0,9425
97 0,909 0,9425
98 0,8565 0,9425
99 0,664 0,9425
100 0,516 0,9425
101 0,502 0,9425
102 0,8835 0,9425
103 0,8935 0,9425
104 0,9195 0,9425
105 0,9325 0,9425
106 0,9445 0,9425
107 0,9505 0,9425
108 0,96 0,9425
109 0,9595 0,9425
110 0,9625 0,9425
111 0,962 0,9425
112 0,9635 0,9425
113 0,9665 0,9425
114 0,969 0,9425
115 0,9675 0,9425
116 0,9675 0,9425
117 0,969 0,9425
118 0,9695 0,9425
119 0,97 0,9425
120 0,9685 0,9425
121 0,969 0,9425
122 0,969 0,9425
123 0,97 0,9425
124 0,97 0,9425
125 0,9715 0,9425
126 0,974 0,9425
127 0,9705 0,9425
128 0,975 0,9425
129 0,9705 0,9425
130 0,974 0,9425
131 0,974 0,9425
132 0,975 0,9425
133 0,9745 0,9425
134 0,977 0,9425
135 0,9775 0,9425
136 0,978 0,9425
137 0,9775 0,9425
138 0,977 0,9425
139 0,976 0,9425
140 0,9765 0,9425
141 0,977 0,9425
142 0,9775 0,9425
143 0,9735 0,9425
144 0,9765 0,9425
145 0,9745 0,945
146 0,9775 0,945
147 0,977 0,945
148 0,98 0,945
149 0,979 0,945
150 0,9805 0,945
151 0,979 0,945
152 0,981 0,945
153 0,9805 0,945
154 0,9815 0,945
155 0,98 0,945
156 0,982 0,945
157 0,979 0,945
158 0,9835 0,945
159 0,98 0,945
160 0,9835 0,945
161 0,979 0,945
162 0,984 0,945
163 0,9805 0,945
164 0,984 0,945
165 0,9815 0,945
166 0,985 0,945
